initial_investment,royalty_rate,sigma,discount_rate,irr_mean,irr_p10,irr_p50,irr_p90,moic_mean,moic_p10,moic_p50,moic_p90,net_cf_mean,net_cf_p10,net_cf_p50,net_cf_p90,npv_mean,npv_p10,npv_p50,npv_p90,prob_irr_negative,prob_moic_below_1x,prob_net_cf_negative,prob_no_payback,irr_var_5,irr_cvar_5,net_cf_var_5,net_cf_cvar_5,prob_npv_negative,npv_var_5,npv_cvar_5
40000000,0.07,0.15,0.1,0.01825766741699603,0.00815793138267229,0.017790146874954837,0.029369658142361213,1.1236989448175445,1.0547400078566513,1.1196996578618925,1.1994909063326051,4947957.79270178,2189600.3142660665,4787986.3144756965,7979636.2533042,-14822478.414760448,-16515737.496128341,-14912677.266695954,-13007480.109179437,0.02,0.02,0.02,0.02,0.004799038734929172,0.0007608274710341618,1283595.5001979372,206201.73899603248,1.0,-17138303.23262332,-17661483.24080755
40000000,0.07,0.2,0.1,0.018586553720060565,0.0046193209517164675,0.018067698525216946,0.03344453732809496,1.1263346329985333,1.0311503160835094,1.1220918576872672,1.2280321855434264,5053385.319941344,1246012.6433403853,4883674.307490692,9121287.42173705,-14758663.65161908,-17119856.83511781,-14901771.993028693,-12207815.14410751,0.046,0.046,0.046,0.046,0.000408473282530764,-0.0029866658149197444,112433.28125748406,-785040.084666415,1.0,-17640449.773797102,-18262313.790181767
50000000,0.04,0.1,0.1,-0.03212402043404652,-0.03907721066014761,-0.032617913357823825,-0.024166045770837485,0.8070340700284796,0.7663249369527732,0.804255506149935,0.853168538925062,-9648296.498576019,-11683753.152361346,-9787224.69250325,-7341573.053746901,-27243484.83648832,-28494808.655909702,-27302348.507865235,-25878975.288447417,1.0,1.0,1.0,1.0,-0.04196222335557913,-0.04443691416251197,-12495777.515192803,-13212011.575132495,1.0,-28932105.522394076,-29409371.590379287
50000000,0.04,0.15,0.1,-0.03179162866948974,-0.04255304306388504,-0.03220460979275391,-0.020501834254073065,0.8090331020793884,0.7446703157177217,0.8063111254603261,0.8755369476501702,-9548344.896030579,-12766484.214113919,-9684443.726983698,-6223152.617491495,-27191218.87258277,-29203611.070263766,-27299591.61165724,-25174258.63609153,1.0,1.0,1.0,1.0,-0.04583124437644606,-0.049312959372061954,-13682500.654374361,-14635518.829637641,1.0,-29718210.8194969,-30319603.20526006
50000000,0.04,0.2,0.1,-0.031481542045065425,-0.04570841333079227,-0.03199361279256291,-0.016212593797658395,0.8109371625767545,0.7262889909521969,0.8070595263924814,0.900743133506913,-9453141.871162271,-13685550.452390157,-9647023.680375926,-4962843.3246543445,-27146847.305235557,-29791149.69124783,-27261890.52112834,-24512459.69840931,0.992,0.992,0.992,0.992,-0.05057958551826721,-0.05434295255889702,-15043393.634255165,-16052746.244935121,1.0,-30560415.48753945,-31182161.298560195
50000000,0.05,0.1,0.1,-0.027120942176066844,-0.03340534868059728,-0.027465064234410086,-0.01955775990055878,0.8349366705526968,0.7975902238967,0.8324798215348337,0.879131456823679,-8253166.472365161,-10120488.805164997,-8376008.923258314,-6043427.158816049,-26488175.380333062,-27679204.0508958,-26546618.33967628,-25199185.53216522,1.0,1.0,1.0,1.0,-0.03599587772934261,-0.03865991981595369,-10860411.88826399,-11641394.355996959,1.0,-28069928.80942061,-28535290.92110346
50000000,0.05,0.15,0.1,-0.026838527831237698,-0.03680214773237469,-0.027230221434421775,-0.016109644464513045,0.8367142430681193,0.7777746714076801,0.833862422454088,0.9014772701561963,-8164287.846594044,-11111266.429615995,-8306878.877295602,-4926136.492190192,-26441116.021540888,-28298396.917253453,-26500182.151601925,-24472055.57401352,0.998,0.998,0.998,0.998,-0.04001935840252514,-0.04352388770358523,-12051058.69023389,-13077841.068720276,1.0,-28773611.622044045,-29428437.76918684
50000000,0.05,0.2,0.1,-0.026521564917966856,-0.03995423803688967,-0.026914410100319267,-0.012099717296409867,0.8387535900815769,0.7603995468874635,0.8353382813500749,0.9258750709541446,-8062320.495921152,-11980022.655626817,-8233085.932496257,-3706246.4522927743,-26389417.0172325,-28900743.59681126,-26515164.394231617,-23783555.28831263,0.982,0.982,0.982,0.982,-0.0446675662669089,-0.048031818510927415,-13438818.667984063,-14370198.594600003,1.0,-29664209.53719341,-30220847.241119016
50000000,0.06,0.1,0.1,-0.02175075050799754,-0.02780510111360346,-0.022073280032911285,-0.014894407923285492,0.8655406283623586,0.828333980383879,0.8638646247094658,0.9072127625166779,-6722968.581882073,-8583300.980806047,-6806768.764526712,-4639361.874166095,-25685688.443449996,-26831843.74104326,-25732054.376906727,-24456432.888914876,1.0,1.0,1.0,1.0,-0.03019839529743658,-0.03266539890382095,-9210429.27224404,-9993300.071340293,1.0,-27240470.14607439,-27644540.73102002
50000000,0.06,0.15,0.1,-0.021558444251875006,-0.03074858969552567,-0.021878098096509258,-0.011181340166639896,0.8668659379998979,0.8102552130369235,0.8646488908936916,0.9297146207751824,-6656703.10000511,-9487239.34815383,-6767555.455315424,-3514268.9612408807,-25647981.69545147,-27384118.478698887,-25717918.8710965,-23751734.138357386,0.996,0.996,0.996,0.996,-0.03434180748546723,-0.03741425898016148,-10463838.966116535,-11415548.852913477,1.0,-27968822.304381054,-28526843.169563256
